workload,stage,repetition,seconds,exit_code
polybench_2mm,casa_simulation,1,0.244486708,0
polybench_2mm,casa_simulation,2,0.250738390,0
polybench_2mm,casa_simulation,3,0.251150860,0
polybench_2mm,casa_simulation,4,0.248437569,0
polybench_2mm,casa_simulation,5,0.246302014,0
polybench_2mm,casa_simulation,6,0.269143576,0
polybench_2mm,casa_simulation,7,0.245130928,0
polybench_gemm,casa_simulation,1,0.017743068,0
polybench_gemm,casa_simulation,2,0.017617038,0
polybench_gemm,casa_simulation,3,0.016476968,0
polybench_gemm,casa_simulation,4,0.018489040,0
polybench_gemm,casa_simulation,5,0.016787244,0
polybench_gemm,casa_simulation,6,0.015532207,0
polybench_gemm,casa_simulation,7,0.016192747,0
test_local,casa_simulation,1,0.008335976,0
test_local,casa_simulation,2,0.007082643,0
test_local,casa_simulation,3,0.007636163,0
test_local,casa_simulation,4,0.010129666,0
test_local,casa_simulation,5,0.009227449,0
test_local,casa_simulation,6,0.008647168,0
test_local,casa_simulation,7,0.009405082,0
test_matmul,casa_simulation,1,0.542569172,0
test_matmul,casa_simulation,2,0.541862575,0
test_matmul,casa_simulation,3,0.549215615,0
test_matmul,casa_simulation,4,0.552602299,0
test_matmul,casa_simulation,5,0.552040195,0
test_matmul,casa_simulation,6,0.547830854,0
test_matmul,casa_simulation,7,0.546630226,0
