workload,stage,repetition,seconds,exit_code
polybench_2mm,casa_simulation,1,0.813250199,0
polybench_2mm,casa_simulation,2,0.818382192,0
polybench_2mm,casa_simulation,3,0.816060776,0
polybench_2mm,casa_simulation,4,0.817867510,0
polybench_2mm,casa_simulation,5,0.813211301,0
polybench_2mm,casa_simulation,6,0.813072212,0
polybench_2mm,casa_simulation,7,0.806973984,0
polybench_gemm,casa_simulation,1,0.031960037,0
polybench_gemm,casa_simulation,2,0.031588344,0
polybench_gemm,casa_simulation,3,0.032181818,0
polybench_gemm,casa_simulation,4,0.029855972,0
polybench_gemm,casa_simulation,5,0.033743467,0
polybench_gemm,casa_simulation,6,0.031633830,0
polybench_gemm,casa_simulation,7,0.032524176,0
test_local,casa_simulation,1,0.016354499,0
test_local,casa_simulation,2,0.015377186,0
test_local,casa_simulation,3,0.015976002,0
test_local,casa_simulation,4,0.015558982,0
test_local,casa_simulation,5,0.015911408,0
test_local,casa_simulation,6,0.016095059,0
test_local,casa_simulation,7,0.015688226,0
test_matmul,casa_simulation,1,1.446012322,0
test_matmul,casa_simulation,2,1.459775327,0
test_matmul,casa_simulation,3,1.432587629,0
test_matmul,casa_simulation,4,1.438062433,0
test_matmul,casa_simulation,5,1.442926245,0
test_matmul,casa_simulation,6,1.453260021,0
test_matmul,casa_simulation,7,1.426516004,0
